Country,City,Population,Population Density,Covid Effect
Ethiopia,Addis Ababa,3041002.0,36.61531843169872,0.2961797937439061
Ethiopia,Nazret,476892.0,5.742039116557525,0.2961797937439061
Ethiopia,Gonder,323900.0,3.899932206564552,0.2961797937439061
Ethiopia,Mekele,323700.0,3.8975240977614862,0.2961797937439061
Ethiopia,Awasa,300100.0,3.613367258999759,0.2961797937439061
Ethiopia,Dire Dawa,277000.0,3.335230692245696,0.2961797937439061
Ethiopia,Bahir Dar,243300.0,2.929464358929162,0.2961797937439061
Ethiopia,Dese,187900.0,2.2624182204800225,0.2961797937439061
Ethiopia,Jima,177900.0,2.1420127803267484,0.2961797937439061
Ethiopia,Harar,174994.0,2.107022959418207,0.2961797937439061
Ethiopia,Jijiga,159300.0,1.9180586616416584,0.2961797937439061
Ethiopia,Shashemene,114350.0,1.3768362081526906,0.2961797937439061
Ethiopia,Giyon,114534.0,1.3790516682515108,0.2961797937439061
Ethiopia,Asela,110088.0,1.3255194095593652,0.2961797937439061
Ethiopia,Adigrat,76400.0,0.919897562771015,0.2961797937439061
Ethiopia,Nek'emte,73018.0,0.8791764429111777,0.2961797937439061
Ethiopia,Debre Mark'os,70758.0,0.8519648134365377,0.2961797937439061
Ethiopia,Arba Minch',69622.0,0.8382867554351258,0.2961797937439061
Ethiopia,Aksum,66800.0,0.8043083402238718,0.2961797937439061
Ethiopia,Debre Birhan,65231.0,0.785416726663823,0.2961797937439061
Ethiopia,Hagere Hiywet,43920.0,0.5288206931531804,0.2961797937439061
Ethiopia,Goba,34369.0,0.4138214572627882,0.2961797937439061
Ethiopia,Asosa,20226.0,0.24353204325401243,0.2961797937439061
Ethiopia,Negele,11772.0,0.1417412841484344,0.2961797937439061
Ethiopia,Gambela,0.0,0.0,0.2961797937439061
Ethiopia,Semera,0.0,0.0,0.2961797937439061
Ethiopia,Debre Zeyit,99928.0,1.2031874823636386,0.2961797937439061
Ethiopia,Hosa'ina,89300.0,1.0752205805687387,0.2961797937439061
Ethiopia,Gode,75000.0,0.9030408011495566,0.2961797937439061
Ethiopia,Sodo,65737.0,0.7915092419355787,0.2961797937439061
Ethiopia,Dila,47021.0,0.5661584201447107,0.2961797937439061
Ethiopia,Yirga `Alem,36292.0,0.43697542340426276,0.2961797937439061
Ethiopia,Gimbi,31809.0,0.38299766458354995,0.2961797937439061
Ethiopia,Dembi Dolo,27780.0,0.33448631274579577,0.2961797937439061
Ethiopia,Adet,21117.0,0.25426016797166917,0.2961797937439061
Ethiopia,Welench'iti,20984.0,0.2526587756176306,0.2961797937439061
Ethiopia,Bati,20536.0,0.24726461189876392,0.2961797937439061
Ethiopia,Bichena,19916.0,0.23979947460926093,0.2961797937439061
Ethiopia,Lalibela,14668.0,0.17661069961682263,0.2961797937439061
Ethiopia,Dolo Bay,11810.0,0.14219882482101684,0.2961797937439061
Ethiopia,Gore,9352.0,0.11260316763134205,0.2961797937439061
Ethiopia,Gewane,8408.0,0.10123689408087297,0.2961797937439061
Antigua And Barbuda,Saint John's,21926.0,0.26400096808006907,0.4524309039496488
Netherlands,The Hague,1406000.0,16.929004885550356,2.22008212806589
Netherlands,Amsterdam,1031000.0,12.413800879802572,2.22008212806589
Netherlands,Rotterdam,1005000.0,12.100746735404059,2.22008212806589
Netherlands,Utrecht,640000.0,7.70594816980955,2.22008212806589
Netherlands,Eindhoven,398053.0,4.792774666933126,2.22008212806589
Netherlands,Haarlem,349957.0,4.2136726619719385,2.22008212806589
Netherlands,Groningen,216688.0,2.6090414015932684,2.22008212806589
Netherlands,Arnhem,141674.0,1.7058320328274972,2.22008212806589
Netherlands,'s-Hertogenbosch,134520.0,1.6196939809418447,2.22008212806589
Netherlands,Leeuwarden,125778.0,1.5144355451598523,2.22008212806589
Netherlands,Maastricht,122378.0,1.4734976955077392,2.22008212806589
Netherlands,Zwolle,111805.0,1.3461930236336823,2.22008212806589
Netherlands,Assen,62237.0,0.7493673378819328,2.22008212806589
Netherlands,Middelburg,46485.0,0.5597046885524952,2.22008212806589
Netherlands,Kralendijk,12531.0,0.1508800570560679,2.22008212806589
Netherlands,Lelystad,0.0,0.0,2.22008212806589
Netherlands,Oranjestad,0.0,0.0,2.22008212806589
Netherlands,The Bottom,0.0,0.0,2.22008212806589
Georgia,Tbilisi,1118035.0,13.461749628176594,1.2603644134626615
Georgia,Batumi,154600.0,1.8614681047696193,1.2603644134626615
Georgia,Kutaisi,147900.0,1.7807964598669257,1.2603644134626615
Georgia,Rustavi,125103.0,1.5063081779495064,1.2603644134626615
Georgia,Sokhumi,64441.0,0.7759046968917144,1.2603644134626615
Georgia,Gori,48143.0,0.5796679105299081,1.2603644134626615
Georgia,Zugdidi,42998.0,0.5177193115710484,1.2603644134626615
Georgia,Telavi,20900.0,0.2516473699203431,1.2603644134626615
Georgia,Akhaltsikhe,17903.0,0.21556185950640683,1.2603644134626615
Georgia,Mtskheta,7940.0,0.09560191948169973,1.2603644134626615
Georgia,Ambrolauri,2047.0,0.024646993599375232,1.2603644134626615
Georgia,Ozurgeti,0.0,0.0,1.2603644134626615
Georgia,Rustavi,0.0,0.0,1.2603644134626615
Georgia,Poti,47149.0,0.5676996097786726,1.2603644134626615
Georgia,Ts'khinvali,30432.0,0.3664178354744441,1.2603644134626615
Georgia,Khashuri,28500.0,0.3431555044368315,1.2603644134626615
Georgia,Senak'i,21596.0,0.260027588555011,1.2603644134626615
Georgia,Marneuli,20211.0,0.24335143509378251,1.2603644134626615
Georgia,Gardabani,15100.0,0.18181221463144406,1.2603644134626615
